element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
He,1,"=""370.5005""","=""""","=""370.4995274""","=""0.0000021""","=""3*""","=""1.0980e+05""",AAA,"=""[169086.76391031]""","=""[196069.673884275]""","=""1s.2p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""1""",,"=""T8636c73""","=""L14925c72""",
He,1,"=""370.5005""","=""""","=""370.4995746""","=""0.0000021""","=""3*""","=""9.8814e+05""",AAA,"=""[169086.76391031]""","=""[196069.670444809]""","=""1s.2p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""2""",,"=""T8636c73""","=""L14925c72""",
He,1,"=""370.5005""","=""""","=""370.4995779""","=""0.0000021""","=""3*""","=""3.9529e+06""",AAA,"=""[169086.76391031]""","=""[196069.670203959]""","=""1s.2p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""3""",,"=""T8636c73""","=""L14925c72""",
He,1,"=""370.5005""","=""""","=""370.5005768""","=""0.0000021""","=""3*""","=""1.6470e+06""",AAA,"=""[169086.84033581]""","=""[196069.673884275]""","=""1s.2p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""1""",,"=""T8636c73""","=""L14925c72""",
He,1,"=""370.5005""","=""""","=""370.5006240""","=""0.0000021""","=""3*""","=""2.9644e+06""",AAA,"=""[169086.84033581]""","=""[196069.670444809]""","=""1s.2p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""2""",,"=""T8636c73""","=""L14925c72""",
He,1,"=""""","=""""","=""370.5141427""","=""0.0000021""","=""0""","=""2.1961e+06""",AAA,"=""[169087.82825101]""","=""[196069.673884275]""","=""1s.2p""","=""3P*""","=""0""","=""1s.7d""","=""3D""","=""1""",,"=""T8636c73""","=""L366""",
H,1,"=""371.1978""","=""0.0006""","=""371.19774""","=""0.00019""","=""3300""","=""9.2102e+03""",AAA,"=""82259.158""","=""[109191.3154]""","=""2""","=""""","=""""","=""15""","=""""","=""""",,"=""T8637""","=""L7436c29""",
Li,2,"=""371.400""","=""""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""371.416""","=""""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""371.427""","=""""","=""""","=""""","=""6bl""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""371.429""","=""""","=""""","=""""","=""8""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""371.440""","=""""","=""""","=""""","=""7bl""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""371.441""","=""""","=""""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""371.451""","=""""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""371.458""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Be,3,"=""372.036""","=""""","=""""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1653""",
Be,3,"=""372.092""","=""""","=""372.086""","=""0.005""","=""""","=""3.4081e+07""",AAA,"=""[956518.70]""","=""[983386.60]""","=""1s.2s""","=""3S""","=""1""","=""1s.2p""","=""3P*""","=""2""",,"=""T8636c73""","=""L7397""",
Be,3,"=""""","=""""","=""372.131""","=""0.005""","=""""","=""3.4083e+07""",AAA,"=""[956518.70]""","=""[983383.30]""","=""1s.2s""","=""3S""","=""1""","=""1s.2p""","=""3P*""","=""0""",,"=""T8636c73""","=""""",
H,1,"=""372.1946""","=""0.0006""","=""372.19449""","=""0.00019""","=""5000""","=""1.3032e+04""",AAA,"=""82259.158""","=""[109119.1917]""","=""2""","=""""","=""""","=""14""","=""""","=""""",,"=""T8637""","=""L7436c29""",
Be,3,"=""372.298""","=""""","=""372.291""","=""0.005""","=""""","=""3.4081e+07""",AAA,"=""[956518.70]""","=""[983371.80]""","=""1s.2s""","=""3S""","=""1""","=""1s.2p""","=""3P*""","=""1""",,"=""T8636c73""","=""L7397""",
